Date,Open,High,Low,Close,Adj_Close,Volume,Price,BuyPrice,UnitsBought,CashUsed,InvestAmount,CashRemainder,CumUnits,CumInvested,AvgCost
2015-01-02,2058.899902,2072.360107,2046.040039,2058.199951,2058.199951,2708700000,2058.199951,2058.199951,8.210046,16897.916274907748,16897.916274907748,0.0,927.7351980000011,1268923.692568504,1367.7649563194675
2015-02-02,1996.670044,2021.660034,1980.900024,2020.849976,2020.849976,4008330000,2020.849976,2020.849976,8.210046,16591.271262058897,16591.271262058897,0.0,935.9452440000011,1285514.963830563,1373.4937722815775
2015-03-02,2105.22998,2117.52002,2104.5,2117.389893,2117.389893,3409490000,2117.389893,2117.389893,8.210046,17383.86842146508,17383.86842146508,0.0,944.1552900000012,1302898.8322520282,1379.962434200868
2015-04-01,2067.629883,2067.629883,2048.379883,2059.689941,2059.689941,3543270000,2059.689941,2059.689941,8.210046,16910.149161347286,16910.149161347286,0.0,952.3653360000012,1319808.9814133754,1385.8221540870675
2015-05-01,2087.379883,2108.409912,2087.379883,2108.290039,2108.290039,3379390000,2108.290039,2108.290039,8.210046,17309.158201531794,17309.158201531794,0.0,960.5753820000012,1337118.139614907,1391.9970932743572
2015-06-01,2108.639893,2119.149902,2102.540039,2111.72998,2111.72998,3011710000,2111.72998,2111.72998,8.210046,17337.40027537908,17337.40027537908,0.0,968.7854280000013,1354455.5398902863,1398.096524517795
2015-07-01,2067.0,2082.780029,2067.0,2077.419922,2077.419922,3727260000,2077.419922,2077.419922,8.210046,17055.713120936412,17055.713120936412,0.0,976.9954740000013,1371511.2530112227,1403.805124496637
2015-08-03,2104.48999,2105.699951,2087.310059,2098.040039,2098.040039,3476770000,2098.040039,2098.040039,8.210046,17225.005230031795,17225.005230031795,0.0,985.2055200000013,1388736.2582412546,1409.5904154508316
2015-09-01,1970.089966,1970.089966,1903.069946,1913.849976,1913.849976,4371850000,1913.849976,1913.849976,8.210046,15712.796340058896,15712.796340058896,0.0,993.4155660000014,1404449.0545813134,1413.7578498355354
2015-10-01,1919.650024,1927.209961,1900.699951,1923.819946,1923.819946,3983600000,1923.819946,1923.819946,8.210046,15794.650252377516,15794.650252377516,0.0,1001.6256120000014,1420243.704833691,1417.9386866893426
2015-11-02,2080.76001,2106.199951,2080.76001,2104.050049,2104.050049,3760020000,2104.050049,2104.050049,8.210046,17274.347688592254,17274.347688592254,0.0,1009.8356580000014,1437518.0525222833,1423.5168278463398
2015-12-01,2082.929932,2103.370117,2082.929932,2102.629883,2102.629883,3712120000,2102.629883,2102.629883,8.210046,17262.68806040462,17262.68806040462,0.0,1018.0457040000015,1454780.740582688,1428.9935460330628
2016-01-04,2038.199951,2038.199951,1989.680054,2012.660034,2012.660034,4304880000,2012.660034,2012.660034,8.210046,16524.031461501563,16524.031461501563,0.0,1026.2557500000014,1471304.7720441895,1433.6628779367984
2016-02-01,1936.939941,1947.199951,1920.300049,1939.380005,1939.380005,4322530000,1939.380005,1939.380005,8.210046,15922.39905253023,15922.39905253023,0.0,1034.4657960000013,1487227.1710967198,1437.6765059293637
2016-03-01,1937.089966,1978.349976,1937.089966,1978.349976,1978.349976,4819750000,1978.349976,1978.349976,8.210046,16242.344307058896,16242.344307058896,0.0,1042.6758420000012,1503469.5154037788,1441.9337773472428
2016-04-01,2056.620117,2075.070068,2043.97998,2072.780029,2072.780029,3749990000,2072.780029,2072.780029,8.210046,17017.619385971335,17017.619385971335,0.0,1050.8858880000012,1520487.13478975,1446.86226368828
2016-05-02,2067.169922,2083.419922,2066.110107,2081.429932,2081.429932,3841110000,2081.429932,2081.429932,8.210046,17088.63548749687,17088.63548749687,0.0,1059.095934000001,1537575.7702772468,1451.7813928999988
2016-06-01,2093.939941,2100.969971,2085.100098,2099.330078,2099.330078,3525170000,2099.330078,2099.330078,8.210046,17235.596509563587,17235.596509563587,0.0,1067.305980000001,1554811.3667868103,1456.7625366315374
2016-07-01,2099.340088,2108.709961,2097.899902,2102.949951,2102.949951,3458890000,2102.949951,2102.949951,8.210046,17265.315833407745,17265.315833407745,0.0,1075.516026000001,1572076.682620218,1461.6952649854952
2016-08-01,2173.149902,2178.290039,2166.209961,2170.840088,2170.840088,3505990000,2170.840088,2170.840088,8.210046,17822.69698112405,17822.69698112405,0.0,1083.7260720000008,1589899.3796013421,1467.0675742507567
2016-09-01,2171.330078,2173.560059,2157.090088,2170.860107,2170.860107,3392120000,2170.860107,2170.860107,8.210046,17822.861338034923,17822.861338034923,0.0,1091.9361180000008,1607722.240939377,1472.3592474293225
2016-10-03,2164.330078,2164.409912,2154.77002,2161.199951,2161.199951,3113850000,2161.199951,2161.199951,8.210046,17743.55101290775,17743.55101290775,0.0,1100.1461640000007,1625465.7919522848,1477.4998496947753
2016-11-01,2128.679932,2131.449951,2097.850098,2111.719971,2111.719971,4539190000,2111.719971,2111.719971,8.210046,17337.318101028668,17337.318101028668,0.0,1108.3562100000006,1642803.1100533134,1482.1977765192587
2016-12-01,2200.169922,2202.600098,2187.439941,2191.080078,2191.080078,5067470000,2191.080078,2191.080078,8.210046,17988.86823006359,17988.86823006359,0.0,1116.5662560000005,1660791.9782833771,1487.4101463830877
2017-01-03,2251.570068,2263.879883,2245.129883,2257.830078,2257.830078,3773010000,2257.830078,2257.830078,8.210046,18536.88880056359,18536.88880056359,0.0,1124.7763020000004,1679328.8670839407,1493.0336495335764
