Date,Open,High,Low,Close,Adj_Close,Volume,Price,BuyPrice,UnitsBought,CashUsed,InvestAmount,CashRemainder,CumUnits,CumInvested,AvgCost
2011-05-03,9014.33,9018.7,8895.25,8946.08,8946.04,2675400.0,8946.04,8946.04,1.63505,14627.222702000001,14627.222702000001,0.0,112.8184500000002,832395.2074824999,7378.18333333332
2011-06-01,8999.84,9089.47,8999.84,9062.35,9062.31,2648800.0,9062.31,9062.31,1.63505,14817.329965499997,14817.329965499997,0.0,114.4535000000002,847212.5374479999,7402.242285714272
2011-07-01,8684.39,8744.2,8659.57,8739.82,8739.78,2416000.0,8739.78,8739.78,1.63505,14289.977289,14289.977289,0.0,116.08855000000021,861502.5147369999,7421.080845070408
2011-08-01,8629.97,8707.87,8629.97,8701.38,8701.34,3193600.0,8701.34,8701.34,1.63505,14227.125967,14227.125967,0.0,117.72360000000022,875729.6407039999,7438.8622222222075
2011-09-01,7799.18,7886.04,7755.55,7757.76,7757.72,3465400.0,7757.72,7757.72,1.63505,12684.260086,12684.260086,0.0,119.35865000000022,888413.9007899999,7443.230136986286
2011-10-03,7128.66,7128.66,6998.37,7013.97,7013.94,2067600.0,7013.94,7013.94,1.63505,11468.142596999998,11468.142596999998,0.0,120.99370000000023,899882.0433869999,7437.428918918904
2011-11-01,7547.24,7656.26,7505.96,7622.01,7621.97,2232000.0,7621.97,7621.97,1.63505,12462.3020485,12462.3020485,0.0,122.62875000000024,912344.3454354999,7439.889466666651
2011-12-01,7132.41,7199.26,7129.07,7178.69,7178.66,3336600.0,7178.66,7178.66,1.63505,11737.468033,11737.468033,0.0,124.26380000000024,924081.8134684999,7436.45223684209
2012-01-03,7005.39,7073.79,7005.39,7053.38,7053.35,1818200.0,7053.35,7053.35,1.63505,11532.5799175,11532.5799175,0.0,125.89885000000025,935614.393386,7431.476883116868
2012-02-01,7520.36,7566.08,7488.97,7549.21,7549.17,4049800.0,7549.17,7549.17,1.63505,12343.270408499999,12343.270408499999,0.0,127.53390000000026,947957.6637944999,7432.985769230753
2012-03-01,8127.57,8151.7,8103.75,8118.34,8118.3,2838000.0,8118.3,8118.3,1.63505,13273.826415,13273.826415,0.0,129.16895000000025,961231.4902095,7441.660632911377
2012-04-02,7905.88,7928.43,7859.56,7862.9,7862.86,1675400.0,7862.86,7862.86,1.63505,12856.169242999998,12856.169242999998,0.0,130.80400000000026,974087.6594524999,7446.925624999985
2012-05-02,7511.76,7679.07,7511.76,7676.81,7676.77,2695600.0,7676.77,7676.77,1.63505,12551.9027885,12551.9027885,0.0,132.43905000000026,986639.5622409999,7449.763209876527
2012-06-01,7213.69,7218.75,7106.09,7106.09,7106.06,1836600.0,7106.06,7106.06,1.63505,11618.763402999999,11618.763402999999,0.0,134.07410000000027,998258.3256439999,7445.571707317057
2012-07-02,7332.09,7359.99,7318.22,7345.16,7345.13,1833800.0,7345.13,7345.13,1.63505,12009.654806499999,12009.654806499999,0.0,135.70915000000028,1010267.9804504998,7444.361566265044
