Date,Open,High,Low,Close,Adj_Close,Volume,Price,BuyPrice,InvestAmount,UnitsBought,CashUsed,CashRemainder,CumUnits,CumInvested,AvgCost
2008-01-02,8491.57,8532.92,8319.58,8323.05,8323.01,4372600.0,8323.01,8323.01,10000.0,1.201488,10000.0,0.0,40.26279,295000.0,7326.864333047958
2008-02-01,7613.58,7706.03,7583.65,7673.99,7673.96,4123200.0,7673.96,7673.96,10000.0,1.303108,10000.0,0.0,41.565898000000004,305000.0,7337.745957034297
2008-03-03,8213.7,8265.85,8147.27,8262.87,8262.83,5371400.0,8262.83,8262.83,10000.0,1.210239,10000.0,0.0,42.776137000000006,315000.0,7363.918812958729
2008-04-01,8593.2,8608.95,8419.72,8419.72,8419.68,5053400.0,8419.68,8419.68,10000.0,1.187694,10000.0,0.0,43.963831000000006,325000.0,7392.440390374532
2008-05-02,8998.06,9010.71,8950.28,8963.63,8963.59,5657600.0,8963.59,8963.59,10000.0,1.115624,10000.0,0.0,45.079455,335000.0,7431.3232047725505
2008-06-02,8638.48,8724.47,8631.46,8724.47,8724.43,3714200.0,8724.43,8724.43,10000.0,1.146207,10000.0,0.0,46.225662,345000.0,7463.386895356955
2008-07-01,7528.54,7569.18,7407.98,7407.98,7407.95,3657400.0,7407.95,7407.95,15000.0,2.024852,15000.0,0.0,48.250514,360000.0,7461.06041481755
2008-08-01,6920.75,7008.0,6903.85,7002.54,7002.51,3308000.0,7002.51,7002.51,10000.0,1.428059,10000.0,0.0,49.678573,370000.0,7447.878987989449
2008-09-01,6967.22,6967.22,6801.22,6813.09,6813.06,3445000.0,6813.06,6813.06,10000.0,1.467769,10000.0,0.0,51.146342,380000.0,7429.661343131832
2008-10-01,5854.0,5854.0,5727.72,5764.01,5763.98,2825800.0,5763.98,5763.98,15000.0,2.602369,15000.0,0.0,53.748711,395000.0,7349.013448899267
2008-11-03,4925.74,5010.57,4836.51,4995.06,4995.04,4325600.0,4995.04,4995.04,15000.0,3.002979,15000.0,0.0,56.751689999999996,410000.0,7224.454461179923
2008-12-01,4436.12,4567.76,4418.24,4518.43,4518.41,4199000.0,4518.41,4518.41,10000.0,2.213168,10000.0,0.0,58.964858,420000.0,7122.886652249718
2009-01-05,4725.26,4778.52,4687.57,4698.31,4698.29,3626800.0,4698.29,4698.29,10000.0,2.128434,10000.0,0.0,61.093292,430000.0,7038.415936073637
2009-02-02,4277.1,4285.12,4240.08,4259.98,4259.96,2399800.0,4259.96,4259.96,10000.0,2.34744,10000.0,0.0,63.440732,440000.0,6935.607237318763
2009-03-02,4528.27,4528.27,4408.51,4425.83,4425.81,3906800.0,4425.81,4425.81,10000.0,2.259473,10000.0,0.0,65.700205,450000.0,6849.293697028799
2009-04-02,5428.92,5477.97,5401.3,5473.78,5473.75,7837800.0,5473.75,5473.75,5000.0,0.913451,5000.0,0.0,66.61365599999999,455000.0,6830.4312857411705
