Date,Open,High,Low,Close,Adj Close,Volume
2020-05-08,10883.22,10970.7,10883.22,10901.42,10901.42,3169900
2020-05-11,10942.18,11039.11,10942.18,11013.26,11013.26,3370600
2020-05-12,10974.51,10974.51,10854.51,10879.47,10879.47,3047800
2020-05-13,10861.01,10938.27,10828.93,10938.27,10938.27,2677400
2020-05-14,10894.17,10894.17,10777.46,10780.88,10780.88,3054300
2020-05-15,10833.16,10904.01,10730.55,10814.92,10814.92,2749400
2020-05-18,10753.21,10812.87,10730.7,10740.55,10740.55,2716100
2020-05-19,10812.79,10924.79,10812.79,10860.44,10860.44,3048200
2020-05-20,10892.76,10933.98,10860.15,10907.8,10907.8,2731300
2020-05-21,10933.21,11021.66,10933.21,11008.31,11008.31,2787700
2020-05-22,10977.55,10977.55,10804.56,10811.15,10811.15,2923700
2020-05-25,10812.94,10874.54,10719.25,10871.18,10871.18,2222100
2020-05-26,10903.32,11046.22,10903.32,10997.21,10997.21,2886300
2020-05-27,11023.93,11069.72,10972.25,11014.66,11014.66,2794500
2020-05-28,11040.62,11087.53,10915.3,10944.19,10944.19,3122300
2020-05-29,10921.16,10965.03,10861.9,10942.16,10942.16,3589800
2020-06-01,10971.4,11109.29,10971.4,11079.02,11079.02,2655700
2020-06-02,11109.27,11170.49,11102.97,11127.93,11127.93,2754300
2020-06-03,11182.52,11330.52,11182.52,11320.16,11320.16,3776100
2020-06-04,11373.94,11425.42,11341.58,11393.23,11393.23,3539700
2020-06-05,11418.01,11482.36,11411.94,11479.4,11479.4,3400800
2020-06-08,11539.0,11631.89,11528.44,11610.32,11610.32,3822500
2020-06-09,11600.61,11640.45,11537.38,11637.11,11637.11,3023600
2020-06-10,11635.99,11740.9,11621.02,11720.16,11720.16,3477600
2020-06-11,11738.49,11771.12,11516.59,11535.77,11535.77,4457500
2020-06-12,11406.54,11442.3,11244.64,11429.94,11429.94,3367500
2020-06-15,11436.28,11469.84,11299.45,11306.26,11306.26,3034000
2020-06-16,11380.67,11542.25,11380.67,11511.64,11511.64,2915500
2020-06-17,11525.5,11550.32,11482.32,11534.59,11534.59,3138800
2020-06-18,11534.2,11567.42,11485.39,11548.33,11548.33,3404900
2020-06-19,11557.27,11584.88,11542.37,11549.86,11549.86,4580400
2020-06-22,11553.91,11632.88,11553.91,11572.93,11572.93,2950700
2020-06-23,11618.42,11679.4,11530.85,11612.36,11612.36,3057500
2020-06-24,11647.86,11701.23,11637.79,11660.67,11660.67,2861900
2020-06-29,11608.8,11608.8,11500.65,11542.62,11542.62,2922300
2020-06-30,11563.6,11638.0,11563.6,11621.24,11621.24,2935300
2020-07-01,11622.64,11736.39,11622.64,11703.42,11703.42,2868400
2020-07-02,11694.1,11805.21,11690.95,11805.14,11805.14,3060100
2020-07-03,11857.9,11933.59,11857.9,11909.16,11909.16,3536100
2020-07-06,11941.84,12116.7,11941.84,12116.7,12116.7,4451500
2020-07-07,12176.79,12249.95,12028.57,12092.97,12092.97,4263000
2020-07-08,12086.13,12190.27,12083.84,12170.19,12170.19,3598500
2020-07-09,12222.9,12273.43,12181.34,12192.69,12192.69,3882900
2020-07-10,12250.44,12253.58,12030.2,12073.68,12073.68,4166700
2020-07-13,12109.61,12216.24,12109.61,12211.56,12211.56,3558300
2020-07-14,12202.89,12228.31,12143.91,12209.01,12209.01,3333000
2020-07-15,12233.99,12320.48,12162.52,12202.85,12202.85,3905800
2020-07-16,12173.04,12220.93,12107.04,12157.74,12157.74,3196600
2020-07-17,12195.72,12266.93,12144.62,12181.56,12181.56,3396200
2020-07-20,12205.25,12221.33,12065.8,12174.54,12174.54,2819300
2020-07-21,12242.32,12450.16,12242.32,12397.55,12397.55,3529000
2020-07-22,12389.76,12486.95,12389.4,12473.27,12473.27,3424000
2020-07-23,12423.02,12429.76,12347.86,12413.04,12413.04,3426700
2020-07-24,12467.43,12502.84,12266.55,12304.04,12304.04,3996200
2020-07-27,12618.69,12686.36,12586.91,12588.3,12588.3,3687300
2020-07-28,12951.72,13031.7,12533.19,12586.73,12586.73,4457700
2020-07-29,12530.74,12660.87,12488.01,12540.97,12540.97,3067000
2020-07-30,12691.86,12769.47,12616.83,12722.92,12722.92,3244900
2020-07-31,12653.46,12733.48,12635.71,12664.8,12664.8,3171700
2020-08-03,12642.73,12673.02,12506.59,12513.03,12513.03,3391600
2020-08-04,12577.88,12709.92,12577.88,12709.92,12709.92,3465700
2020-08-05,12762.34,12816.39,12739.99,12802.3,12802.3,3917200
2020-08-06,12894.24,12971.87,12851.2,12913.5,12913.5,4098100
2020-08-07,12901.43,12912.63,12791.18,12828.87,12828.87,3831300
2020-08-10,12786.8,12933.16,12786.8,12894.0,12894.0,3952000
2020-08-11,12856.46,12906.01,12780.19,12780.19,12780.19,3726400
2020-08-12,12713.63,12730.96,12625.54,12670.35,12670.35,3440300
2020-08-13,12758.87,12812.8,12717.13,12763.13,12763.13,3631900
2020-08-14,12709.97,12801.31,12679.19,12795.46,12795.46,3896200
2020-08-17,12813.94,12956.11,12800.69,12956.11,12956.11,4310300
2020-08-18,12974.96,12981.58,12840.25,12872.14,12872.14,3911700
2020-08-19,12904.84,12950.11,12778.64,12778.64,12778.64,4459400
2020-08-20,12764.75,12764.75,12144.76,12362.64,12362.64,6063400
2020-08-21,12462.52,12638.65,12462.52,12607.84,12607.84,3778800
